ID,MINA,UF,MUNICIPIO,LATITUDE,LONGITUDE,RISCO
10195,Mina Tocantinzinho,PA,ITAITUBA,-6.03965,-56.29055555555556,Baixa
10218,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.771905555555556,-56.37585277777778,Média
10227,Nome da mina não informado,MG,SABARÁ,-19.818805555555556,-43.71078888888889,Média
10228,Nome da mina não informado,SP,ANALÂNDIA,-22.150666666666666,-47.6425,Média
10232,Nome da mina não informado,MT,POCONÉ,-16.08727222222222,-56.55987222222222,Média
10233,Mina Pequi,GO,NIQUELÂNDIA,-14.52635,-48.46074166666667,Média
10237,Nome da mina não informado,PA,PARAUAPEBAS,-6.445389722222222,-51.07649388888889,Baixa
10241,Nome da mina não informado,MT,CUIABÁ,-15.557166666666667,-55.81506666666667,Baixa
10245,Nome da mina não informado,GO,CRIXÁS,-14.586013888888889,-49.94083611111111,Média
10247,Complexo Germano,MG,MARIANA,-20.188345,-43.497886944444446,Baixa
10252,Nome da mina não informado,PA,ORIXIMINÁ,-1.6695788888888887,-56.49726638888889,Baixa
10253,Nome da mina não informado,PA,ORIXIMINÁ,-1.6689947222222221,-56.502364166666666,Baixa
10254,Nome da mina não informado,PA,ORIXIMINÁ,-1.6734469444444442,-56.50005222222222,Baixa
10256,Campbell,BA,MARACÁS,-14.161150555555556,-41.159390555555554,Baixa
10260,Helvio,MT,PONTES E LACERDA,-15.130688888888889,-59.379419444444444,Média
10267,Nome da mina não informado,GO,NIQUELÂNDIA,-14.478547222222222,-48.25893888888889,Média
10269,Nome da mina não informado,BA,CAETITÉ,-13.828388888888888,-42.287791666666664,Média
10272,Nome da mina não informado,BA,CAETITÉ,-13.829672222222221,-42.287369444444444,Média
10276,Mina de Catalão,GO,OUVIDOR,-18.150563888888886,-47.77273388888889,Baixa
10279,Nome da mina não informado,MG,TAPIRA,-19.873994444444445,-46.80303055555555,Baixa
10287,Nome da mina não informado,GO,NIQUELÂNDIA,-14.415972222222223,-48.25553611111111,Alta
10290,Nome da mina não informado,RS,SANTO ANTÔNIO DA PATRULHA,-29.91363611111111,-50.47762222222222,Média
10292,Nome da mina não informado,MT,POCONÉ,-16.282602777777775,-56.6218,Baixa
10293,Nome da mina não informado,MT,POCONÉ,-16.097016666666665,-56.564841666666666,Baixa
10294,Nome da mina não informado,SP,SÃO BERNARDO DO CAMPO,-23.889285,-46.58068083333334,Média
10296,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.45638861111111,-56.45557638888889,Baixa
10308,Nome da mina não informado,MT,PONTES E LACERDA,-15.414491666666667,-59.34599166666667,Baixa
10310,Aura Borborema,RN,CURRAIS NOVOS,-6.202081944444445,-36.299743888888884,Baixa
10314,Nome da mina não informado,GO,NIQUELÂNDIA,-14.477511111111111,-48.259175,Média
10316,Nome da mina não informado,MT,NOSSA SENHORA DO LIVRAMENTO,-15.891647222222222,-56.18518333333333,Baixa
10320,Nome da mina não informado,MT,POCONÉ,-16.037872222222223,-56.54103611111111,Baixa
